author_id,author_name,author_link
1,Luis Gravano,https://www.semanticscholar.org/author/1684012
2,Paul Blaer,https://www.semanticscholar.org/author/1897655
3,Christos Papadimitriou,https://www.semanticscholar.org/author/144102674
4,Adam Cannon,https://www.semanticscholar.org/author/145051113
5,Nakul Verma,https://www.semanticscholar.org/author/39706047
6,Mihalis Yannakakis,https://www.semanticscholar.org/author/1748179
7,Martha Kim,https://www.semanticscholar.org/author/8991961
8,Tony Dear,https://www.semanticscholar.org/author/3258452
9,Daniel Bauer,https://www.semanticscholar.org/author/87520404
10,David Blei,https://www.semanticscholar.org/author/1796335
11,Shing-Fu Chang,https://www.semanticscholar.org/author/145586362
12,Eleni Drinea,https://www.semanticscholar.org/author/2103183
13,Stephen Edwards,https://www.semanticscholar.org/author/144520714
14,Steven Feiner,https://www.semanticscholar.org/author/1809403
15,Daniel Hsu,https://www.semanticscholar.org/author/2750838
16,David Knowles,https://www.semanticscholar.org/author/3250170
17,Jason Nieh,https://www.semanticscholar.org/author/1700208
18,Dan Rubenstein,https://www.semanticscholar.org/author/39229189
19,Clifford Stein,https://www.semanticscholar.org/author/1690758
20,Bjarne Stroustrup,https://www.semanticscholar.org/author/1706320
21,Carl Vondrick,https://www.semanticscholar.org/author/1856025
